"";"vuosi";"atyyppi";"atyyppi_tp";"amma3";"N"
"386";1995;"kaup";"pk";"rakennus tt";1145
"387";1995;"kaup";"pk";"korj & valm tt";3189
"388";1995;"kaup";"pk";"pros tt";864
"389";1995;"kaup";"pk";"kulj tt";1514
"390";1995;"kaup";"pk";"siivoojat & kettiö tt";1195
"391";1995;"kaup";"pk";"muut tt";892
"392";1995;"kaup";"pk";NA;305
"393";1995;"tkakeskus";"ms";"sotilaat";8
"394";1995;"tkakeskus";"ms";"johtajat";97
"395";1995;"tkakeskus";"ms";"erityisasiantuntijat";371
"396";1995;"tkakeskus";"ms";"asiantuntijat";342
"397";1995;"tkakeskus";"ms";"tsto & aspal tt";163
"398";1995;"tkakeskus";"ms";"pal, myynti & hoito tt";362
"399";1995;"tkakeskus";"ms";"maanvil & metsä tt";65
"400";1995;"tkakeskus";"ms";"rakennus tt";76
"401";1995;"tkakeskus";"ms";"korj & valm tt";223
"402";1995;"tkakeskus";"ms";"pros tt";153
"403";1995;"tkakeskus";"ms";"kulj tt";213
"404";1995;"tkakeskus";"ms";"siivoojat & kettiö tt";26
"405";1995;"tkakeskus";"ms";"muut tt";23
"406";1995;"tkakeskus";"ms";NA;20
"407";1995;"tkakeskus";"ydinms";"sotilaat";30
"408";1995;"tkakeskus";"ydinms";"johtajat";296
"409";1995;"tkakeskus";"ydinms";"erityisasiantuntijat";1084
"410";1995;"tkakeskus";"ydinms";"asiantuntijat";1167
"411";1995;"tkakeskus";"ydinms";"tsto & aspal tt";437
"412";1995;"tkakeskus";"ydinms";"pal, myynti & hoito tt";927
"413";1995;"tkakeskus";"ydinms";"maanvil & metsä tt";183
"414";1995;"tkakeskus";"ydinms";"rakennus tt";346
"415";1995;"tkakeskus";"ydinms";"korj & valm tt";975
"416";1995;"tkakeskus";"ydinms";"pros tt";554
"417";1995;"tkakeskus";"ydinms";"kulj tt";610
"418";1995;"tkakeskus";"ydinms";"siivoojat & kettiö tt";159
"419";1995;"tkakeskus";"ydinms";"muut tt";89
"420";1995;"tkakeskus";"ydinms";NA;57
"421";1995;"tkakeskus";"kaupms";"sotilaat";31
"422";1995;"tkakeskus";"kaupms";"johtajat";130
"423";1995;"tkakeskus";"kaupms";"erityisasiantuntijat";566
"424";1995;"tkakeskus";"kaupms";"asiantuntijat";625
"425";1995;"tkakeskus";"kaupms";"tsto & aspal tt";224
"426";1995;"tkakeskus";"kaupms";"pal, myynti & hoito tt";462
"427";1995;"tkakeskus";"kaupms";"maanvil & metsä tt";71
"428";1995;"tkakeskus";"kaupms";"rakennus tt";214
"429";1995;"tkakeskus";"kaupms";"korj & valm tt";650
"430";1995;"tkakeskus";"kaupms";"pros tt";404
"431";1995;"tkakeskus";"kaupms";"kulj tt";235
"432";1995;"tkakeskus";"kaupms";"siivoojat & kettiö tt";68
"433";1995;"tkakeskus";"kaupms";"muut tt";61
"434";1995;"tkakeskus";"kaupms";NA;14
"435";1995;"tkakeskus";"kaup";"sotilaat";61
"436";1995;"tkakeskus";"kaup";"johtajat";216
"437";1995;"tkakeskus";"kaup";"erityisasiantuntijat";885
